data_set_name,column_num,column_header,column_descrption,possible_values
nodes,9,province,Eastern Pacific ocean provincial range of node,"Californian (species ranging from Point Conception, CA, USA to at least Baja California, Mexico), Oregonian (species whose southern range limit is Point Conception, CA, USA), Both (species which ranged from at least North of San Francisco Bay to at least Baja California, Mexico), or unknown"
nodes,10,commonality,Commonality of node,"abundant, very common, common, present, uncommon (rare nodes were excluded)"
nodes,11,reference,References that listed the presence of node at least in the Eastern Pacific ocean intertidal areas,"Numeric code that corresponds to references.csv, personal observation (PO), personal communication (pers. comm.), or name of (exp. test.) expert observer"
nodes,12,zone,rocky intertidal zone as defined in Ricketts (1985),"high, middle, low, very low"
nodes,13,habitat_notes,"notes on the habitat of the node, as available",
nodes,14,grouping_habits,Grouping habits of organism,"solitary, colonial (asexual reproduction leading to aggregated clones often with physical connection, as in sponges or colonial tunicates), or aggregating (non-clonal grouping habits without physical connection)"
nodes,15,mobility,Organism mobility,"mobile, sessile, host-dependent, passive"
nodes,16,trophic_strategy,Best description of trophic habits of node,"primary producer, non-feeding, detritivore, deposit feeder, grazer, filter feeder, carnivore (scavenger + predator), scavenger, typical predator, micropredator, pathogen, parasite, parasitoid, parasitic castrator, unknown"
nodes,17,node_type,"Whether or not node is represents a taxonomic grouping, a life stage, or a non-taxonomic group","taxonomic, life stage, common name"
nodes,18,node_resolution,Taxonomic resolution of node.,"subspecies, species, genus, family, order, class, phylum, kingdom, assemblage (non-taxonomic)"
nodes,19,aphia,Unique taxonomic identifier corresponding to entry in World Register of Marine Species as of June 2024.,
nodes,20,kingdom,Kingdom according to World Register of Marine Species as of June 2024.,
nodes,21,phylum,Phylum according to World Register of Marine Species as of June 2024.,
nodes,22,class,Class according to World Register of Marine Species as of June 2024.,
nodes,23,order,Order according to World Register of Marine Species as of June 2024.,
nodes,24,family,Family according to World Register of Marine Species as of June 2024.,
nodes,25,genus,Genus according to World Register of Marine Species as of June 2024.,
nodes,26,parasite,"Denotes whether this organism has a trophic strategy that is considered parasitic (e.g. pathogen, typical parasite, parasitic castrator, symbiotic egg predator)","(y) Yes, (n) No"
references,1,reference_number,unique identifier for each reference as referred to in ref_num column in  links.csv and nodes.csv,
references,2,reference,full citation for each reference in APA format,
